Analysis Year,vmThresh,fricExp,mu_scale,stiff_scale,log(gamma_0),melt_flux
2015,34089.338,0.172,0.233,0.206,2.532,30.480
2030,33780.793,0.167,0.213,0.196,2.467,30.370
2045,33765.259,0.159,0.208,0.191,2.256,30.179
2060,33642.881,0.157,0.207,0.187,1.800,29.814
2075,33475.783,0.153,0.203,0.182,1.246,28.120
2090,33153.866,0.152,0.199,0.176,1.205,26.904
2105,32615.270,0.146,0.182,0.165,1.139,26.501
2120,32367.703,0.139,0.176,0.161,1.020,26.205
2135,31971.112,0.136,0.173,0.155,0.898,24.243
2150,31677.424,0.132,0.170,0.150,0.779,23.499
2165,30712.851,0.125,0.161,0.138,0.698,21.657
2180,29026.491,0.110,0.144,0.126,0.573,21.373
2195,28307.630,0.091,0.122,0.114,0.410,20.860
2210,27691.443,0.066,0.106,0.105,0.368,20.225
2225,26619.743,0.042,0.099,0.099,0.316,19.973
2240,26423.654,0.032,0.098,0.099,0.296,19.680
2255,26190.720,0.027,0.095,0.095,0.279,19.407
2270,25982.594,0.024,0.092,0.093,0.267,19.128
2285,25805.673,0.022,0.091,0.091,0.256,18.969
2300,25731.717,0.021,0.091,0.090,0.250,18.751
total_%_decrease,24.517,87.739,61.123,56.232,90.112,38.483
