Latest year of calibration,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux
2045,1424.2278850540156,0.009985882571314109,0.026865846194260093,0.021293502667135467,20040.259103713397,0.25084470962168615
2060,137.612836432123,0.0018337984999575,0.0021449238438240384,0.0010972531445615843,-3009.7205004908174,0.3149167462530271
2075,253.4249672172723,0.005152771469072413,0.008770517831118346,0.0033648458845310647,-11936.99015855878,0.8477273714804963
2090,4.595847135300573,0.0006877258643950036,0.0007386358322271219,0.0007026323213231989,-5042.55559467795,0.4185207567249867
2105,14.280306411543734,0.0019449568901224353,0.008942106243159088,0.00036202447492289513,-3461.087095834013,0.3153929849678718
2120,345.11059003462697,0.0021636211832422973,0.002200194999857255,0.005659180055831922,-870.1790823067931,0.12357353804530646
2135,-15.14588480285147,0.0011732690225051204,0.0013105651107868238,-0.0002483118276589216,-488.0956939071257,-0.4269705646249502
2150,201.47287342368782,-0.000248102824020803,0.003399341284825566,0.0026689965865844822,-7683.931342349853,0.3148684664262227
2165,-72.00174335711108,0.0010203398427254332,0.0013083729555678422,0.0018585980003247987,-4379.279839656789,-0.1940837561713673
2180,-21.077591317541646,-0.0002739362873387177,0.0012533619411841807,-0.0025619632973658893,-2256.184582081093,-0.11193111091518615
2195,-255.06405077262843,0.0031125912654560335,-0.008502020821962913,-0.00516762275483882,-1007.1034686464664,-0.15366538215847925
2210,558.7301799689076,-0.00295040831034862,-0.007436468258705281,0.00463200565552517,25.381188844025928,0.6991959202303706
2225,-199.25183988307253,-0.014636771258528157,-0.0052332042112360755,-0.0021596459845357116,-751.9755078491908,-0.375415684604524
2240,28.25871661738256,-0.0006140042263373963,0.0036262991963464802,-0.0006868034565149991,-37.30855242198595,0.18513937549188908
2255,298.1889583897482,-0.003647588882092977,0.0002338623521316377,0.0006075643103970463,-123.97663397602946,-0.011953328416495879
2270,-130.50881939934652,-0.0020855943086953693,-0.001199530951655703,-0.0007159854764854853,-238.66721504508132,-0.07060780505603104
2285,-272.1589085260989,-0.001029597237918155,-0.0036889785211064174,0.0005952293684826984,-181.19974553988504,-0.3064330177466741
2300,-28.304855785829204,-0.0008692126590982355,0.0009409374766045503,-0.002045971532413794,-82.27197330638319,0.07314532205236102
Total,-2272.3894668401285,-0.0007197406144119145,-0.035674762497226634,-0.029255528139806707,21484.886694090812,-1.89226454160051
