LearningPeriod,ΔvmThresh,Δ_fricExp,Δ_mu_scale,Δ_stiff_scale,Δ_log(gamma0),Δ_melt_flux
2030 - 2045,2950.941,0.011,0.045,0.040,0.364,0.5291607958950983
2045 - 2060,49.035,0.001,0.011,0.005,-0.102,0.7789805194814186
2060 - 2075,857.073,0.005,0.013,0.005,-0.189,1.479816074784999
2075 - 2090,346.907,0.007,-0.004,0.005,-0.010,1.2980825321423914
2090 - 2105,173.415,0.011,0.029,-0.000,0.139,0.9873979286572947
2105 - 2120,-222.925,0.005,0.005,0.007,-0.084,-0.2150886446261815
2120 - 2135,-813.782,0.006,0.002,-0.003,-0.009,-0.5261143347092947
2135 - 2150,466.664,-0.002,0.005,0.009,-0.011,-0.07423449900988643
2150 - 2165,1206.948,0.002,-0.008,-0.006,0.156,-0.6651007244113174
2165 - 2180,-1376.144,0.013,-0.008,-0.007,-0.003,-0.16760337624023336
2180 - 2195,-124.640,-0.007,-0.013,-0.008,-0.202,-0.0283228816406762
2195 - 2210,94.446,-0.010,-0.026,0.005,-0.008,0.7581580103312504
2210 - 2225,689.765,-0.030,-0.006,-0.001,-0.049,0.3478467840229129
2225 - 2240,81.038,-0.009,0.007,0.002,-0.017,-0.29714696911750593
2240 - 2255,-261.504,-0.002,-0.003,-0.006,-0.006,-0.10955453660750081
2255 - 2270,-308.262,-0.002,-0.003,-0.001,0.012,-0.3038162583701478
2270 - 2285,498.216,0.001,-0.001,-0.003,-0.007,-0.008479355358996798
2285 - 2300,-57.727,-0.001,-0.002,-0.008,-0.008,-0.09672433557826565
