Learning_Period,Δ_2100,Δ_%_2100,Δ_2200,Δ_%_2200,Δ_2300,Δ_%_2300
2030 - 2045,-0.14648233160242885,-24.2475304919407,6.172156420411393,-116.45517207581197,7.12993167224435,-912.9157081886931
2045 - 2060,0.2549786691918007,42.2071589685164,-1.6809972555352601,31.71676336732865,0.5498163567446763,-70.39842901233506
2060 - 2075,0.4302371979661962,71.21807430514366,-6.058700746790296,114.31451019128356,2.6849782975242835,-343.78434137000363
2075 - 2090,0.0653788364285236,10.822297218280651,0.10990028518279527,-2.0735794348663275,0.14254936885594027,-18.252006330939782
2090 - 2105,,,-0.7283996897461478,13.74331845006964,0.7294812074255113,-93.40269776772982
2105 - 2120,,,-1.0905418557991267,20.57615374959952,1.5250282608882344,-195.2644595762741
2120 - 2135,,,-0.8545302955726144,16.123128747322045,1.6969378306435914,-217.2757429702739
2135 - 2150,,,-0.2809404290433113,5.300735071958947,-1.3245872962962295,169.60001936110797
2150 - 2165,,,0.09651059208397816,-1.8209450381247871,0.7068744144899135,-90.50812635647534
2165 - 2180,,,-0.6924656861593901,13.065321930533964,-3.5234181186771725,451.13808868304784
2180 - 2195,,,-0.292019075364192,5.509765040706763,-0.7443333725368095,95.30436744059617
2195 - 2210,,,,,-1.0379135125375214,132.8943379675536
2210 - 2225,,,,,-6.718059146234166,860.1795928862452
2225 - 2240,,,,,-1.6064753943242929,205.69294205250426
2240 - 2255,,,,,-0.47546394617196475,60.87835411207209
2255 - 2270,,,,,-0.16452416095538025,21.065656421003652
2270 - 2285,,,,,-0.29661199806587035,37.97816931762138
2285 - 2300,,,,,-0.05521703441137671,7.069983330972636
2030 - 2300,0.6041123719840916,,-5.300027736332172,,-0.7810065713942831,
